"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam – International 2025 Wall Photo Calendar Month View January 2025 – December 2025 (12 Months) Charming International","B0D3F5X4R5","B0D3F5X4R5","Finocam","Notebooks & Composition Books","Office Supplies","89","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Modern Dotted Black Notebook, Soft Cover, Micro-Perforated Pages, Elastic closure, Pen Loop, 144 Pages","B0D3F5X5NK","B0D3F5X5NK","Finocam","Notebooks & Composition Books","Office Supplies","0","1","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Dynamic London 2025 Page-A-Day Diary January 2025 – December 2025 (12 Months) Blue International","B0D3F5YDCH","B0D3F5YDCH","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Modern Plain Pink Notebook, Soft Cover, Micro-Perforated Pages, Elastic closure, Pen Loop, 144 Pages","B0D3F5Z1B9","B0D3F5Z1B9","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Dynamic Porto Design 2025 Diary Vertical Week View January 2025 – December 2025 (12 Months) Botanic International","B0D3F614NG","B0D3F614NG","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Dynamic London 2025 Pay-A-Day Diary January 2025 – December 2025 (12 Months) Black International","B0D3F61HVT","B0D3F61HVT","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – International 2025 Desktop Photo Calendar Month View January 2025 – December 2025 (12 Months) Nature International","B0D3F61KR1","B0D3F61KR1","Finocam","Notebooks & Composition Books","Office Supplies","5","26","0.00","9.49","0","2","0.00","0","0","7.7"
"Finocam – Modern Plain Blue Notebook, Soft Cover, Micro-Perforated Pages, Elastic closure, Pen Loop, 144 Pages","B0D3F63FC1","B0D3F63FC1","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Modern Dotted Red Notebook, Soft Cover, Micro-Perforated Pages, Elastic closure, Pen Loop, 144 Pages","B0D3F63LGL","B0D3F63LGL","Finocam","Notebooks & Composition Books","Office Supplies","0","4","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Modern Dotted Pink Notebook, Soft Cover, Micro-Perforated Pages, Elastic closure, Pen Loop, 144 Pages","B0D3F641RS","B0D3F641RS","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Capri 2025 Page-A-Day Diary January 2025 – December 2025 (12 Months) Black International","B0D3F651KM","B0D3F651KM","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Plain Flamingo Design Notebook, Soft Cover, Micro-Perforated Pages, Elastic closure, Pen Loop, 144 Pages","B0D3F68K7V","B0D3F68K7V","Finocam","Notebooks & Composition Books","Office Supplies","3","2","0.00","0.00","0","0","0.00","0","0","0"
