"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam - Terminplaner Monatsansicht 2026 Monatsansicht Januar 2026–Dezember 2026 (12 Monate) Grau International","B0F9LBV1D3","B0F9LBV1D3","Finocam","Kalender, Planer & Organizer - Büroorganisation","Büroorganisation","35","1","100","0","5.88","10.00","1","1","5.88","0","2.9","100"
"Finocam - Notizbuch Nexo Flexibler Einband Horizontal Liniert Türkis | Notizbuch DIN A5 mit perforierten Blättern | Innentasche und Stifthalter | 72 Seiten, Ideal zum Schreiben","B0DV5SM5DS","B0DV5SM5DS","Finocam","Notizblöcke","22903000","2","1","100","0","5.34","0.00","1","0","5.34","0","50","0"
"Finocam - Terminkalender Minimal 18 Monate 2025 2026 Horizontale Wochenansicht Juli 2025 - Dezember 2026 (18 Monate) Pretty International","B0DV5SPF75","B0DV5SPF75","Finocam","Terminkalender","22903000","3","21","100","0","5.13","0.00","1","0","5.13","0","33.3","0"
"Finocam - Adressbuch (Telefonbuch) mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Kleines Adressbuch (Telefonbuch) 10 x 15 cm Einband mit doppelter Spiralbindung - Farbe Schwarz","B00JMEII1I","B00JMEII1I","Finocam","22903082","22903000","38","17","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Dokumententasche Portfolio A4-210x297 mm Andrea Leder mit Ringen Blau","B095CDWWFH","B095CDWWFH","Finocam","Kalender, Planer & Organizer - Büroorganisation","Büroorganisation","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notizbuch Flexi Modern Blanko Camel","B09QX29PTS","B09QX29PTS","Finocam","Notizblöcke","22903000","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Terminkalender Dotted 16 Monate 2023 2024 Wochenansicht horizontal September 2023 bis Dezember 2024 (16 Monate) Monstera International","B0BS4921GR","B0BS4921GR","Finocam","Terminkalender","22903000","0","0","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Mytime Undatierter Terminplaner 1 Tag/Seite International, MITTEL","B0BS4996B7","B0BS4996B7","Finocam","Terminkalender","22903000","29","37","100","0","0.00","21.42","0","2","0.00","0","0","5.4"
"Finocam - Terminkalender Espiral 18 Monate 2023 2024 2 Tage pro Seite Juli 2023 -bis Dezember 2024 (18 Monate) Lady International","B0BS4BB9X3","B0BS4BB9X3","Finocam","Terminkalender","22903000","0","1","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Terminkalender Ikon 16 Monate 2023 2024 1 Tag pro Seite September 2023 bis Dezember 2024 (16 Monate) Braun International","B0BS4BJ726","B0BS4BJ726","Finocam","Terminkalender","22903000","0","0","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Calendar 2024 International Wall Images January 2024 - December 2024 (12 Months) Cats International","B0C2V77CD7","B0C2V77CD7","Finocam","Kalender, Planer & Organizer - Büroorganisation","Büroorganisation","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Calendar 2024 International Wall Images January 2024 - December 2024 (12 Months) Nature International","B0C2V8TJKQ","B0C2V8TJKQ","Finocam","Kalender, Planer & Organizer - Büroorganisation","Büroorganisation","2","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Calendar 2024 Desktop Images International January 2024 - December 2024 (12 Months) Parks International","B0C2V9FMWZ","B0C2V9FMWZ","Finocam","Kalender, Planer & Organizer - Büroorganisation","Büroorganisation","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
